Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Wed Nov 11 19:11:33 2020


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       MCL86jr_map.ncd
OUTPUT FILE:      MCL86jr_pad.txt
PART TYPE:        xc6slx9
SPEED GRADE:      -3
PACKAGE:          tqg144

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|P1        |A13        |IOB      |IO_L83N_VREF_3            |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |YES        |NONE            |
|P2        |A16        |IOB      |IO_L83P_3                 |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |YES        |NONE            |
|P3        |           |         |GND                       |         |           |              |          |         |           |         |       |          |           |                |
|P4        |           |         |VCCO_3                    |         |           |3             |          |         |           |         |3.30   |          |           |                |
|P5        |A12        |IOB      |IO_L52N_3                 |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |YES        |NONE            |
|P6        |A17        |IOB      |IO_L52P_3                 |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |YES        |NONE            |
|P7        |A11        |IOB      |IO_L51N_3                 |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |YES        |NONE            |
|P8        |A18        |IOB      |IO_L51P_3                 |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |YES        |NONE            |
|P9        |A10        |IOB      |IO_L50N_3                 |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |YES        |NONE            |
|P10       |A19        |IOB      |IO_L50P_3                 |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |YES        |NONE            |
|P11       |A9         |IOB      |IO_L49N_3                 |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |YES        |NONE            |
|P12       |SSO_n      |IOB      |IO_L49P_3                 |OUTPUT   |PCI33_3    |3             |          |         |           |         |       |LOCATED   |NO         |NONE            |
|P13       |           |         |GND                       |         |           |              |          |         |           |         |       |          |           |                |
