Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10 uF,C_0402_1005Metric,153.416000,-88.138000,0.000000,top
C2,10 uF,C_0402_1005Metric,141.986000,-94.234000,90.000000,top
C3,10 uF,C_0402_1005Metric,127.000000,-94.234000,90.000000,top
C4,10 uF,C_0402_1005Metric,105.410000,-93.980000,90.000000,top
U1,SN74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,160.528000,-92.964000,-90.000000,top
U3,SN74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,150.876000,-93.218000,180.000000,top
U4,SN74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,135.890000,-92.964000,-90.000000,top
U5,SN74LVC244,TSSOP-20_4.4x6.5mm_P0.65mm,110.744000,-92.964000,-90.000000,top
U7,SN74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,100.076000,-92.964000,-90.000000,top
U8,SN74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,120.396000,-92.964000,-90.000000,top
